GameID,Team1,Team2,Team1_WinMargin,P_Team1Win,P_Team2Win,Odds_Team1,Odds_Team2,EV_Team1,EV_Team2,Bet,Bet_Size,EV_Max
2001,Manila,Jefferson City,33,0.9999569480489618,4.043165977260999e-05,2.0,2.0,0.9999138960979237,-0.9999191366804547,Team1,0.25,0.9999138960979237
2007,Italy,Albany,33,0.9999553464915473,4.285361632678205e-05,2.0,2.0,0.9999106929830945,-0.9999142927673463,Team1,0.25,0.9999106929830945
2004,Venice,Tennessee,33,0.9999175406975634,7.816525493101919e-05,2.0,2.0,0.9998350813951269,-0.999843669490138,Team1,0.25,0.9998350813951269
2000,Barcelona,Hawaii,33,0.9998459311514594,0.00013670299886308385,2.0,2.0,0.9996918623029187,-0.9997265940022739,Team1,0.25,0.9996918623029187
2009,El Paso,Bangkok,33,0.9998138050865676,0.00018096497713832865,2.0,2.0,0.9996276101731352,-0.9996380700457232,Team1,0.25,0.9996276101731352
1993,Portugal,Paris,-37,0.00013785189106277557,0.9997791841551646,2.0,2.0,-0.9997242962178745,0.9995583683103293,Team2,0.25,0.9995583683103293
1996,Osaka,Germany,32,0.9993076989094888,0.00044837829314921756,2.0,2.0,0.9986153978189776,-0.9991032434137015,Team1,0.25,0.9986153978189776
1948,New Jersey,Pierre,23,0.999195408304112,0.00043318243496447606,2.0,2.0,0.998390816608224,-0.999133635130071,Team1,0.25,0.998390816608224
1982,Carson City,Ohio,-36,0.0005553215836628452,0.998874890164058,2.0,2.0,-0.9988893568326742,0.9977497803281159,Team2,0.25,0.9977497803281159
1990,Belgrade,Shenzhen,32,0.9987497858919284,0.0011963280686103281,2.0,2.0,0.9974995717838568,-0.9976073438627793,Team1,0.25,0.9974995717838568
1998,Madrid,Singapore,-36,0.0011946267505062694,0.9986323609014596,2.0,2.0,-0.9976107464989874,0.9972647218029191,Team2,0.25,0.9972647218029191
1983,California,New York,33,0.9985768794307518,0.0014159369764395705,2.0,2.0,0.9971537588615036,-0.9971681260471208,Team1,0.25,0.9971537588615036
1999,Milan,Istanbul,33,0.998196695296126,0.0016994828474013817,2.0,2.0,0.996393390592252,-0.9966010343051972,Team1,0.25,0.996393390592252
1995,Berlin,Frankfort,30,0.9981125567192303,0.0018767953500626981,2.0,2.0,0.9962251134384605,-0.9962464092998746,Team1,0.25,0.9962251134384605
1978,Baton Rouge,Big Sur,-3,0.9972089886234756,0.002639926934088618,2.0,2.0,0.9944179772469512,-0.9947201461318227,Team1,0.25,0.9944179772469512
2005,Shanghai,Alabama,-35,0.002618523183141435,0.9969071814933115,2.0,2.0,-0.994762953633717,0.993814362986623,Team2,0.25,0.993814362986623
1971,Georgia,Virginia,24,0.9956990747439531,0.0005688522422239322,2.0,2.0,0.9913981494879063,-0.9988622955155522,Team1,0.25,0.9913981494879063
1950,Michigan,Natchez,32,0.995547083716516,0.00432949282014504,2.0,2.0,0.991094167433032,-0.9913410143597099,Team1,0.25,0.991094167433032
1988,Montana,Oregon,28,0.995229028351807,0.0047439530679965125,2.0,2.0,0.9904580567036141,-0.9905120938640071,Team1,0.25,0.9904580567036141
1966,Madison,Las Vegas,31,0.9940987371322758,0.005736626110140654,2.0,2.0,0.9881974742645516,-0.9885267477797186,Team1,0.25,0.9881974742645516
